route,dep,arr,dep_country,arr_country,type,year,region,carrier,hub_dest,forecast_pax,captured_uncapped,capacity,feed_beyond,feed_behind,p2p_outturn,fc_over_p2p,outturn_pax,fc_over_out,natural,propensity,propensity_basis,gcd_km
EZE-AKL,EZE,AKL,AR,NZ,FSC,2016,INTL,NZ,True,10680,7307,188448,739,2634,15531,0.47,68094,0.157,6825,0.931,qsi-share,10308
FLA-CLO,FLA,CLO,CO,CO,FSC,2016,LATAM,9R,False,11578,11353,14352,225,0,10546,1.077,10576,1.095,68532,0.1441,qsi-share,233
LIM-LGW,LIM,LGW,PE,GB,FSC,2016,INTL,BA,True,24691,22453,171600,1899,339,37513,0.599,48605,0.508,23985,0.9798,qsi-share,10150
TDD-RIB,TDD,RIB,BO,BO,FSC,2016,LATAM,8J,False,45217,110680,53196,0,8,49539,2.234,52731,0.858,96243,1.0,qsi-share,443
FUK-MFM,FUK,MFM,JP,MO,FSC,2016,INTL,NX,False,36509,73595,42952,1286,284,31561,2.332,37055,0.985,290780,0.702,qsi-share,2084
TPE-NTG,TPE,NTG,TW,CN,FSC,2016,INTL,ZH,False,3236,198,48984,2999,39,29065,0.007,32133,0.101,273,0.6326,qsi-share,777
CTD-PAC,CTD,PAC,PA,PA,FSC,2016,LATAM,7P,False,108,0,38688,108,0,47070,,48923,0.002,1,0.1153,qsi-share,143
CCS-VLN,CCS,VLN,VE,VE,FSC,2016,LATAM,R7,False,4055,1439,74880,18,2598,3889,0.37,50875,0.08,1376,0.9093,qsi-share,114
LIS-PUJ,LIS,PUJ,PT,DO,FSC,2016,INTL,6O,True,5617,3008,80704,160,2449,44009,0.068,44009,0.128,2615,1.0,qsi-share,6080
DMK-TAO,DMK,TAO,TH,CN,LCC,2016,INTL,XW,True,50887,46276,172640,2075,2535,121301,0.381,121519,0.419,73391,0.4671,qsi-share,3167
ICN-WNZ,ICN,WNZ,KR,CN,LCC,2016,INTL,TW,False,10422,7142,0,825,2455,27998,0.255,28950,0.36,9459,0.5593,qsi-share,0
FYN-URC,FYN,URC,,CN,FSC,2016,INTL,CZ,True,5,5,69888,0,0,50588,0.0,50888,0.0,4,1.0,qsi-share,359
UTP-UTH,UTP,UTH,TH,TH,LCC,2016,APAC,FD,False,3109,3096,131040,0,12,152722,0.02,152806,0.02,2265066,0.001,qsi-share,557
GMP-KPO,GMP,KPO,KR,KR,FSC,2016,APAC,KE,False,118982,118982,214032,0,0,136054,0.875,137482,0.865,363067,0.6653,qsi-share,291
XIY-SFO,XIY,SFO,CN,US,FSC,2016,INTL,UA,True,15444,4981,136656,625,9838,10626,0.469,23226,0.665,4552,0.9515,qsi-share,10416
DXB-CKG,DXB,CKG,AE,CN,FSC,2016,INTL,CA,True,6616,2722,159536,2964,930,9501,0.287,31298,0.211,2484,0.9528,qsi-share,5039
WAW-NRT,WAW,NRT,PL,JP,FSC,2016,INTL,LO,True,112380,38096,157248,324,73960,31567,1.207,69079,1.627,36608,0.9447,qsi-share,8610
CSX-CNX,CSX,CNX,CN,TH,LCC,2016,INTL,FD,False,5119,3136,102960,412,1570,79305,0.04,82034,0.062,2377,0.9773,qsi-share,1788
CEB-TPE,CEB,TPE,PH,TW,FSC,2016,INTL,BR,True,13216,8906,266968,3055,1255,112169,0.079,181471,0.073,11516,0.6725,qsi-share,1666
FOC-SYD,FOC,SYD,CN,AU,FSC,2016,INTL,MF,True,43285,23674,147264,76,19535,33038,0.717,52070,0.831,23478,0.8768,qsi-share,7437
LKO-SIN,LKO,SIN,IN,SG,LCC,2016,INTL,TR,True,7805,7805,56160,0,0,46883,0.166,48463,0.161,5869,0.985,qsi-share,3747
JHB-CAN,JHB,CAN,MY,CN,LCC,2016,INTL,AK,True,3553,3553,131040,0,0,84387,0.042,88132,0.04,2827,0.9309,qsi-share,2630
SGN-KMG,SGN,KMG,VN,CN,FSC,2016,INTL,MU,True,8444,3016,41184,4646,782,10145,0.297,21081,0.401,2673,0.9813,qsi-share,1627
SYD-SZX,SYD,SZX,AU,CN,FSC,2016,INTL,CZ,True,21258,16245,136032,5002,11,26345,0.617,64681,0.329,267864,0.9969,qsi-share,7424
LGK-CAN,LGK,CAN,MY,CN,LCC,2016,INTL,AK,True,7449,7449,74880,0,0,47593,0.157,51301,0.145,27399,0.2014,qsi-share,2385
TSE-TDK,TSE,TDK,,KZ,FSC,2016,OTH,IQ,False,1085,1085,36400,0,0,27188,0.04,27224,0.04,944,1.0,qsi-share,834
XMN-DPS,XMN,DPS,CN,ID,FSC,2016,INTL,MF,True,24051,5370,123032,226,18456,19114,0.281,60057,0.4,5932,0.7871,qsi-share,3710
ATH-JED,ATH,JED,GR,SA,FSC,2016,INTL,A3,True,34225,8873,69888,599,24753,82049,0.108,99382,0.344,8632,0.8938,qsi-share,2321
AUH-DAR,AUH,DAR,AE,TZ,FSC,2016,INTL,EY,False,60037,34978,169728,161,24899,4590,7.621,70509,0.851,98015,0.3124,qsi-share,3858
GYD-EBL,GYD,EBL,AZ,IQ,FSC,2016,OTH,IA,False,618,167,56992,182,269,18317,0.009,18494,0.033,159,0.9139,qsi-share,708
TUU-GIZ,TUU,GIZ,SA,SA,FSC,2016,MEA,SV,False,15582,13306,54912,0,2276,23803,0.559,23840,0.654,11571,1.0,qsi-share,1411
ADL-DOH,ADL,DOH,AU,QA,FSC,2016,INTL,QR,True,4591,621,294320,3770,199,3827,0.162,107207,0.043,547,0.988,qsi-share,11314
WAE-AHB,WAE,AHB,SA,SA,LCC,2016,MEA,XY,False,83,83,51168,0,0,43320,0.002,43395,0.002,62,1.0,qsi-share,365
GIZ-AHB,GIZ,AHB,SA,SA,LCC,2016,MEA,XY,False,88,88,51168,0,0,53115,0.002,53615,0.002,114,0.5733,qsi-share,148
BSR-CAI,BSR,CAI,IQ,EG,FSC,2016,INTL,NP,True,5608,4243,62608,65,1300,24913,0.17,24972,0.225,3690,1.0,qsi-share,1558
SMT-CGB,SMT,CGB,,BR,LCC,2016,INTL,AD,False,0,0,50960,0,0,37176,,46650,,0,1.0,qsi-share,356
BAQ-MTR,BAQ,MTR,CO,CO,FSC,2016,LATAM,VE,False,4361,4068,28080,246,48,5248,0.775,5287,0.825,10750,0.329,qsi-share,256
SDQ-PAP,SDQ,PAP,DO,HT,FSC,2016,INTL,7N,False,9650,8611,26624,214,826,23683,0.364,55100,0.175,32988,0.227,qsi-share,275
SLA-JUJ,SLA,JUJ,AR,AR,FSC,2016,LATAM,OY,False,1221,1140,102960,5,76,13168,0.087,22151,0.055,1057,0.9794,qsi-share,64
KMG-HAN,KMG,HAN,CN,VN,FSC,2016,INTL,MU,True,13273,4454,41184,1015,7803,10080,0.442,20363,0.652,4014,0.9648,qsi-share,521
TSV-PMK,TSV,PMK,AU,AU,FSC,2016,APAC,OI,False,5418,5415,68640,0,3,66528,0.081,66691,0.081,4750,1.0,qsi-share,58
CBR-WLG,CBR,WLG,AU,NZ,FSC,2016,APAC,SQ,False,6285,5268,96824,100,917,25116,0.21,64777,0.097,4868,0.9411,qsi-share,2321
ABJ-ADD,ABJ,ADD,CI,ET,FSC,2016,INTL,ET,True,3810,3265,140400,456,89,5263,0.62,86653,0.044,2840,1.0,qsi-share,4723
ADD-AWA,ADD,AWA,ET,ET,FSC,2016,AFR,ET,False,0,0,82992,0,0,54444,,66292,,0,1.0,qsi-share,212
MRS-DKR,MRS,DKR,FR,SN,FSC,2016,INTL,ZI,False,17639,15409,72384,70,2160,16023,0.962,30786,0.573,19967,0.6711,qsi-share,3848
MSN-CLT,MSN,CLT,US,US,FSC,2016,NA,AA,True,19680,11787,110656,6694,1198,17142,0.688,85385,0.23,327145,0.0313,qsi-share,1139
PIE-AVP,PIE,AVP,US,US,ULCC,2016,NA,G4,False,16486,16486,34528,0,0,25111,0.657,25111,0.657,150939,0.1517,qsi-share,1621
LGW-YYT,LGW,YYT,GB,CA,FSC,2016,INTL,WS,False,2298,1347,189280,818,133,23377,0.058,38007,0.06,3320,0.3528,qsi-share,3742
MDW-DAY,MDW,DAY,US,US,LCC,2016,NA,WN,False,67890,18885,245388,6843,42162,11629,1.624,82075,0.827,55767,0.2508,qsi-share,362
