route,carrier,year,n_markets,q_flown,q_best,opt_over_flown,best_dep
SZY-LWO,LO,2018,7,0.61864,1.0,1.616,360
AYT-ASF,N4,2018,1,0.01644,0.21515,13.089,600
TXN-HET,GT,2018,15,0.21513,0.69253,3.219,240
CZX-NNG,ZH,2018,20,0.01033,0.0531,5.14,480
NAO-CSX,MF,2018,47,0.41933,0.44745,1.067,720
YEG-YPY,J3,2018,1,1.0,1.0,1.0,
ORF-FLL,G4,2018,49,0.1277,0.15096,1.182,480
SFO-MSN,UA,2018,8,0.00897,0.00952,1.061,600
SBA-OAK,AN,2018,36,0.02361,0.05677,2.404,480
MIA-SAV,AA,2018,22,0.01085,0.05272,4.861,720
IGG-KLL,GV,2018,1,0.0,1.0,,240
TTN-MSP,F9,2018,61,0.42694,0.42962,1.006,360
JFK-PSP,B6,2018,4,0.00153,0.00348,2.278,1320
SFB-SWF,G4,2018,2,0.00523,0.02742,5.244,120
YGR-YQB,P6,2018,10,1.0,1.0,1.0,
JNU-KLW,I4,2018,2,0.41003,0.67908,1.656,720
PRG-RAK,FR,2018,2,0.00247,0.0234,9.454,0
OST-SSH,TB,2018,4,0.27813,0.80451,2.893,360
SXF-KBP,FR,2018,63,0.00808,0.07683,9.505,360
CRL-PMO,FR,2018,5,0.38474,0.38491,1.0,240
OPO-SVQ,FR,2018,14,0.15249,0.15761,1.034,960
TRS-FRA,LH,2018,148,0.33587,0.34595,1.03,480
EFL-TXL,U2,2018,30,0.42236,0.54047,1.28,240
KID-BMA,TF,2018,7,0.2923,0.35452,1.213,720
NRN-LWO,FR,2018,7,0.71874,0.85127,1.184,600
BPL-KRL,G5,2018,6,0.00216,0.23965,110.921,480
YNT-DSN,MU,2018,7,0.00689,0.05448,7.902,240
LJG-INC,3U,2018,14,0.0031,0.056,18.079,840
CIH-KWE,KY,2018,22,0.37684,0.37684,1.0,
TMH-DJJ,IL,2018,8,0.0,1.0,,120
CGD-WNZ,G5,2018,5,0.87331,0.87331,1.0,
PHL-MSN,AA,2018,5,0.00326,0.01501,4.6,600
KOS-FOC,DR,2018,27,0.07464,0.12041,1.613,480
XMN-BKI,MF,2018,17,0.50172,0.54664,1.09,360
PMO-AOI,V7,2018,5,0.00158,0.00276,1.742,600
TIA-LTN,W9,2018,15,0.01016,0.19218,18.913,720
LIN-TPS,AZ,2018,3,0.02807,0.28956,10.316,960
MSQ-KZN,B2,2018,12,0.00077,0.01952,25.228,480
SVQ-NCE,U2,2018,49,0.70661,0.71071,1.006,480
VKO-LEJ,DP,2018,13,0.00273,0.07445,27.276,240
KTW-LWO,W6,2018,7,0.28951,0.56646,1.957,720
XIY-LHR,GS,2018,102,0.09763,0.17181,1.76,1200
CEB-BKK,PR,2018,73,0.17558,0.38418,2.188,240
KZN-OVB,S7,2018,23,0.1893,0.63293,3.344,1080
PHL-OMA,AA,2018,11,0.00274,0.00695,2.539,120
YXU-YUL,AC,2018,53,0.27406,0.27406,1.0,
SMF-MCO,WN,2018,47,0.06292,0.07937,1.262,240
ZRJ-ZPB,PAG,2018,2,0.0,0.69338,,480
SVQ-RBA,FR,2018,1,0.0137,0.25178,18.383,960
JJM-KEU,P2,2018,2,1.0,1.0,1.0,
EBB-GOM,ET,2018,2,0.7,1.0,1.429,0
SEU-ANA,UI,2018,1,1.0,1.0,1.0,
DAR-SEU,UI,2018,4,0.01426,0.0291,2.041,240
KRS-STN,WF,2018,91,0.20384,0.26024,1.277,120
FAO-MXP,U2,2018,73,0.06233,0.07334,1.177,240
TXL-BSL,U2,2018,35,0.00257,0.01115,4.337,720
ULV-SVO,SU,2018,95,0.90497,0.94429,1.043,600
IGT-SVO,SU,2018,75,0.52664,0.73692,1.399,600
IEV-SXF,W6,2018,89,0.27959,0.27959,1.0,
TBS-PEE,DP,2018,3,0.32,0.38534,1.204,480
LJG-ZUH,MF,2018,13,0.00786,0.02178,2.77,360
UYN-CGQ,3U,2018,5,0.50917,0.70286,1.38,840
LKO-MAA,6E,2018,13,0.13375,0.21742,1.626,360
XUZ-HAK,HU,2018,12,0.12686,0.20728,1.634,840
AKU-YIN,G5,2018,3,0.98238,0.98256,1.0,840
KRL-AKU,G5,2018,2,1.0,1.0,1.0,
IND-SRQ,G4,2018,1,0.00166,0.01342,8.068,840
SFB-SYR,G4,2018,6,0.01551,0.05563,3.587,120
PRN-FMM,W6,2018,7,0.0059,0.04619,7.831,360
BHQ-GFF,ZL,2018,2,0.04783,0.91375,19.103,480
WBM-HGU,CG,2018,5,0.84091,1.0,1.189,120
WUH-SGN,CZ,2018,21,0.23499,0.3483,1.482,480
DAT-CKG,G5,2018,61,0.14781,0.30473,2.062,240
LNJ-JHG,MU,2018,5,0.01398,0.17692,12.655,600
DYG-HAK,GT,2018,9,0.05219,0.22346,4.282,960
TLV-KUN,FR,2018,10,0.00266,0.00805,3.027,120
WRO-GOT,W6,2018,9,0.50077,0.57299,1.144,840
EDI-TXL,U2,2018,45,0.01485,0.01485,1.0,
PFO-BUD,FR,2018,69,0.13598,0.18424,1.355,120
CTU-HTN,CA,2018,2,0.00509,0.03524,6.919,1080
PBG-IAD,UA,2018,87,0.44089,0.53596,1.216,840
XQU-YXX,IAX,2018,6,0.15103,0.16183,1.072,840
YYZ-KBP,PS,2018,47,0.13518,0.19325,1.43,480
ATK-AIN,7H,2018,1,0.0,1.0,,0
MCI-RDU,WN,2018,17,0.01371,0.01467,1.07,240
MDT-MCO,F9,2018,28,0.08566,0.10257,1.197,480
ATL-MKL,3E,2018,1,0.0,0.40818,,360
SLC-PIT,DL,2018,38,0.01444,0.11594,8.032,600
OLG-SEU,UI,2018,6,0.89641,1.0,1.116,0
OSJ-SEU,UI,2018,6,0.89641,1.0,1.116,0
FEZ-TSF,FR,2018,19,0.03792,0.17549,4.628,240
JJM-KTJ,P2,2018,6,0.66519,0.67442,1.014,480
MIU-LOS,ZQ,2018,8,0.71815,0.87645,1.22,480
WRO-KBP,FR,2018,27,0.24983,0.24983,1.0,
DME-BEG,WZ,2018,34,0.14111,0.20418,1.447,120
DUB-PFO,FR,2018,2,0.0,0.10883,,480
AEB-NNG,GX,2018,55,0.30924,0.48288,1.562,360
HET-MIG,CA,2018,11,0.00161,0.06759,41.987,480
HLD-TAO,A6,2018,46,0.03957,0.12219,3.088,720
NGB-DYG,CZ,2018,7,0.01111,0.01111,1.0,
MCO-TUL,F9,2018,9,0.00951,0.00951,1.0,
OOL-HBA,TT,2018,1,0.0,0.00623,,360
PER-HBA,VA,2018,3,0.0389,0.0587,1.509,600
YYZ-PVD,AC,2018,1,0.0069,0.0069,1.0,
TTN-BNA,F9,2018,31,0.04432,0.21591,4.872,240
SJC-HOU,WN,2018,37,0.02405,0.08408,3.497,360
OAK-IND,WN,2018,29,0.01563,0.03501,2.24,120
MKE-SLC,DL,2018,43,0.0437,0.15288,3.498,360
TEB-ACK,TJ,2018,3,0.44886,1.0,2.228,120
JJM-OLX,P2,2018,5,0.47091,0.50446,1.071,480
OSJ-UKA,SBK,2018,9,0.0,1.0,,120
CPT-NBO,KQ,2018,36,0.43311,0.48355,1.116,0
WAW-HAJ,LO,2018,23,0.00538,0.01048,1.947,720
HAM-BGO,WF,2018,13,0.16538,0.16818,1.017,840
TEB-MVY,TJ,2018,5,0.81739,1.0,1.223,120
IAD-ILM,UA,2018,2,0.01569,0.01932,1.231,480
YQK-YWG,JV,2018,23,0.63857,0.98413,1.541,360
TUL-AUS,VC,2018,15,0.01354,0.02533,1.871,600
IAH-CAK,UA,2018,5,0.00142,0.00732,5.144,120
RMP-MNT,4W,2018,1,0.0,1.0,,0
LIT-AUS,VC,2018,17,0.01291,0.02262,1.752,840
AGA-RBA,3O,2018,11,0.08147,0.13639,1.674,840
ROB-BJL,KP,2018,2,0.89045,0.972,1.092,0
RAK-CTA,FR,2018,22,0.11794,0.12011,1.018,360
ATH-RAK,FR,2018,3,0.02003,0.12184,6.083,840
BVA-PRG,FR,2018,54,0.11042,0.23918,2.166,480
KRK-LTN,U2,2018,29,0.03447,0.03447,1.0,
SVQ-TSF,FR,2018,18,0.00277,0.01812,6.535,720
CGQ-XNN,CZ,2018,12,0.06293,0.27759,4.411,120
