route,carrier,year,n_markets,q_flown,q_best,opt_over_flown,best_dep
MRV-KLF,A4,2019,2,0.01193,0.23678,19.853,1080
MRS-BLQ,FR,2019,32,0.09618,0.16887,1.756,240
BRE-SKP,W6,2019,7,0.00458,0.01244,2.718,480
NYM-KRR,YC,2019,13,0.10403,0.14159,1.361,1200
GDN-BRE,W6,2019,14,0.01028,0.03302,3.213,960
DLM-SVO,N4,2019,78,0.32884,0.40946,1.245,960
SKP-FKB,W6,2019,3,0.00368,0.02213,6.008,600
HHH-IAD,UA,2019,70,0.46503,0.55668,1.197,600
EYW-DFW,AA,2019,97,0.22538,0.41865,1.858,360
PAE-PDX,AS,2019,62,0.84086,0.96995,1.154,240
YUM-DFW,AA,2019,139,0.65394,0.65394,1.0,
IAD-LEX,UA,2019,8,0.01925,0.01925,1.0,
GRB-DEN,F9,2019,71,0.17014,0.44264,2.602,720
SBP-DFW,AA,2019,139,0.3857,0.4539,1.177,360
SHE-LAX,CZ,2019,102,0.62281,0.65091,1.045,1080
LAX-MSN,UA,2019,9,0.00528,0.00979,1.852,120
MCE-SMF,4B,2019,27,0.27409,0.31617,1.154,240
BFM-ORD,F9,2019,105,0.92493,0.99008,1.07,480
DFW-AVL,AA,2019,6,0.03018,0.0534,1.769,480
VPS-MCO,3M,2019,56,0.27405,0.32442,1.184,600
MCO-STT,NK,2019,9,0.12595,0.18512,1.47,720
IST-CTU,3U,2019,134,0.29601,0.45584,1.54,1320
LAX-MXP,IG,2019,110,0.00721,0.01247,1.728,1080
KUT-GDN,W6,2019,42,0.17323,0.19453,1.123,0
AYT-KJA,ZF,2019,18,0.15475,0.19993,1.292,840
SEN-NQY,BE,2019,6,0.0136,0.61906,45.53,480
VIE-INI,W6,2019,1,0.0,0.00535,,720
BOO-GDN,W6,2019,19,0.04901,0.20113,4.104,120
BOD-TNG,FR,2019,4,0.32024,0.32071,1.001,600
IEV-SKG,W6,2019,21,0.5943,0.62478,1.051,360
DTM-DEB,W6,2019,2,0.0,0.25664,,240
LHR-VLC,BA,2019,16,0.02285,0.02285,1.0,
BFS-NBE,MT,2019,1,0.32723,0.7061,2.158,720
TXL-MAN,U2,2019,58,0.00912,0.02758,3.025,840
NTE-TLV,U2,2019,20,0.05655,0.07094,1.254,240
VKO-RMI,DP,2019,1,0.00053,0.00076,1.415,360
FOC-SVO,EO,2019,98,0.61867,0.65787,1.063,1200
CMN-VIE,AT,2019,81,0.07359,0.09334,1.268,240
NUX-PEE,RT,2019,10,0.01667,0.17808,10.686,240
PRG-TSE,DV,2019,44,0.22572,0.31407,1.391,120
KBP-MAN,FR,2019,61,0.12964,0.14196,1.095,240
OTP-KRK,LO,2019,52,0.03319,0.11539,3.477,720
WRO-AMS,KL,2019,127,0.1302,0.24053,1.847,360
ORK-POZ,FR,2019,7,0.03549,0.19843,5.591,480
PES-VKO,DP,2019,90,0.52923,0.59618,1.126,360
SEN-BGY,FR,2019,49,0.12351,0.26554,2.15,240
FCO-ESB,TK,2019,35,0.02824,0.29771,10.542,240
LPL-CPH,FR,2019,61,0.19859,0.29711,1.496,720
STR-TSF,OE,2019,17,0.00882,0.00882,1.0,
BFL-DFW,AA,2019,139,0.49052,0.49052,1.0,
HNL-BOS,HA,2019,81,0.08456,0.16003,1.893,360
YHM-DUB,D8,2019,127,0.67611,0.75737,1.12,360
CLT-CMI,AA,2019,2,0.02345,0.06721,2.866,720
YHZ-YXU,WO,2019,3,0.00708,0.02416,3.411,600
NCE-EWR,B0,2019,112,0.14109,0.26347,1.867,1200
JNU-YXY,X4,2019,4,0.77778,1.0,1.286,120
PVD-PBI,B6,2019,4,0.00644,0.02477,3.845,480
MIA-GSP,AA,2019,11,0.0033,0.0309,9.36,240
FLL-DAB,3M,2019,3,0.00265,0.0185,6.988,360
SRQ-CLE,G4,2019,18,0.02297,0.03187,1.387,840
ORD-YQB,UA,2019,9,0.5099,0.71057,1.394,240
PUJ-MCO,F9,2019,83,0.0576,0.07969,1.383,360
BHM-AUS,VC,2019,25,0.01561,0.02674,1.713,480
MCO-CTG,NK,2019,9,0.04691,0.06684,1.425,240
ELP-SEA,AS,2019,38,0.19783,0.27108,1.37,480
MRS-OZZ,FR,2019,2,0.00087,0.01146,13.192,840
CTA-KRK,FR,2019,17,0.00283,0.03703,13.072,120
TJM-ROV,A4,2019,15,0.03957,0.06317,1.596,360
DME-GZP,PC,2019,1,0.00087,0.00144,1.659,480
LUX-EDI,FR,2019,17,0.00584,0.20206,34.58,240
DLM-TLV,8Q,2019,26,0.13988,0.20809,1.488,1080
PSA-BRU,FR,2019,54,0.01487,0.05858,3.94,240
DUS-BGY,OE,2019,56,0.02102,0.03318,1.578,240
MQF-AER,DP,2019,6,0.6728,0.77625,1.154,120
GOJ-KRR,A4,2019,12,0.00263,0.05505,20.926,0
EDI-ILY,LM,2019,2,0.19753,0.19753,1.0,
NTE-BIO,U2,2019,20,0.12238,0.19374,1.583,360
DSA-KRK,W6,2019,63,0.04196,0.07305,1.741,720
LIS-CFE,FR,2019,4,0.00062,0.03594,58.229,480
IEV-KRK,W6,2019,55,0.05243,0.14194,2.707,240
TLS-TXL,U2,2019,23,0.01008,0.01152,1.143,240
STR-TGD,OE,2019,2,0.00259,0.0064,2.474,360
AJI-ADB,PC,2019,19,0.21095,0.46296,2.195,480
DOH-BJV,QR,2019,16,0.04283,0.06182,1.444,840
KZN-ASF,RT,2019,2,0.27682,0.49145,1.775,720
AYT-DOH,QR,2019,69,0.53784,0.59328,1.103,840
CDG-STN,U2,2019,63,0.02102,0.09881,4.7,360
SVO-TNA,EO,2019,60,0.0132,0.02709,2.052,120
LED-NJC,UT,2019,1,0.00091,0.0086,9.42,120
ATH-CMN,AT,2019,31,0.08165,0.33775,4.137,960
SZZ-CPH,SK,2019,84,0.82007,0.83117,1.014,600
VKO-DLM,ZF,2019,1,0.0,0.00049,,0
KZN-BUS,DP,2019,2,0.00564,0.0309,5.473,360
TKU-KRK,W6,2019,29,0.06186,0.24111,3.898,1200
KRR-ASF,UT,2019,1,0.0,0.68506,,720
ADD-DME,ET,2019,68,0.52387,0.73774,1.408,600
PFO-SDV,6H,2019,1,0.96891,0.96891,1.0,
ROV-GRV,A4,2019,1,0.02149,0.21802,10.148,1320
KIV-CRL,W6,2019,86,0.03396,0.04605,1.356,360
INA-PEX,KO,2019,1,1.0,1.0,1.0,
DOH-AGP,QR,2019,39,0.05766,0.12372,2.146,480
ISU-FRA,IA,2019,133,0.71678,0.86031,1.2,120
DUS-BJL,XR,2019,4,0.217,0.21967,1.012,480
KIN-BGI,BW,2019,8,0.34165,0.48156,1.41,360
RAO-UDI,2Z,2019,2,0.0,0.92879,,480
BEL-VCP,AD,2019,26,0.34939,0.40249,1.152,240
VVI-BOG,AV,2019,66,0.66968,0.66968,1.0,
AMM-CMN,AT,2019,33,0.38431,0.40271,1.048,720
TLV-GRU,LA,2019,41,0.61681,0.62719,1.017,1320
DOH-MBA,QR,2019,9,0.30708,0.42381,1.38,0
RBA-DOH,QR,2019,65,0.22767,0.62752,2.756,600
KRR-OMS,A4,2019,2,0.00234,0.0225,9.635,360
NBE-DSA,TOM,2019,20,0.09311,0.15175,1.63,600
KRK-SKG,FR,2019,21,0.05575,0.24918,4.47,240
AGP-RAK,VY,2019,4,0.12358,0.13427,1.086,840
NYO-PRG,FR,2019,78,0.23587,0.29331,1.244,240
CWB-EZE,AR,2019,27,0.03565,0.12679,3.556,1080
MXL-BJX,Y4,2019,2,0.06002,0.12017,2.002,240
EPA-SCL,WJ,2019,30,0.69284,0.71208,1.028,600
CTM-GDL,Y4,2019,27,0.21209,0.43858,2.068,480
BJX-SMF,Y4,2019,8,0.03085,0.14316,4.64,240
UIO-GRU,G3,2019,31,0.77187,0.78739,1.02,120
PMV-MDE,9V,2019,10,0.87817,0.95958,1.093,600
ITB-PIN,7M,2019,2,0.83333,1.0,1.2,360
CSX-ENY,HU,2019,2,0.03649,0.05443,1.492,480
VCA-VII,VJ,2019,1,0.11122,0.11122,1.0,
KRL-AAT,G5,2019,2,0.00759,0.23523,30.98,600
KUU-IXC,9I,2019,9,0.50512,0.56593,1.12,720
BKI-TSN,OD,2019,46,0.12222,0.18779,1.536,360
CSX-JIQ,CZ,2019,5,0.01497,0.36413,24.33,480
NNY-URC,CZ,2019,29,0.84563,0.92495,1.094,360
WNZ-LFQ,CA,2019,3,0.02317,0.02317,1.0,
GWL-DEL,9I,2019,84,0.57673,0.60433,1.048,1200
CNN-BLR,G8,2019,47,0.92983,0.9859,1.06,1320
PKN-PKY,8B,2019,3,1.0,1.0,1.0,
NRT-NGB,IJ,2019,45,0.04117,0.04117,1.0,
MAA-IXB,SG,2019,2,0.01184,0.02392,2.021,480
KUL-TSN,D7,2019,48,0.017,0.10217,6.011,0
NBS-TNA,MU,2019,51,0.21473,0.40943,1.907,240
HAK-KIX,HU,2019,16,0.20419,0.20419,1.0,
KOS-BKK,QD,2019,128,0.55413,0.55413,1.0,
GWL-HYD,SG,2019,22,0.55719,0.65916,1.183,120
LZO-WUH,MU,2019,43,0.93026,0.98309,1.057,240
KQH-HYD,SG,2019,22,0.91021,0.96762,1.063,1200
KOS-XMN,ZA,2019,65,0.07462,0.36999,4.959,480
NQN-SLA,WJ,2019,2,0.00098,0.16208,166.13,480
NRT-KCZ,GK,2019,2,0.01405,0.01694,1.205,960
CGI-PAH,UA,2019,1,0.9195,0.97167,1.057,240
LIS-ORD,TP,2019,158,0.09311,0.32087,3.446,0
PUJ-CLE,F9,2019,16,0.00283,0.01616,5.72,0
EWR-BGI,B6,2019,9,0.46374,0.50581,1.091,360
ERI-CLT,AA,2019,79,0.36202,0.42427,1.172,480
OGS-ORD,UA,2019,125,0.87568,0.97156,1.109,360
MIA-LGW,DI,2019,137,0.0131,0.0808,6.166,120
DEN-STS,UA,2019,1,0.00624,0.01372,2.201,480
LAX-EZE,AA,2019,19,0.14094,0.14121,1.002,960
SDF-DAL,WN,2019,24,0.08006,0.16695,2.085,360
BFM-DEN,F9,2019,83,0.71088,0.99977,1.406,240
YHZ-DUB,WS,2019,124,0.20605,0.40176,1.95,0
SEA-CMH,AS,2019,23,0.00495,0.00686,1.385,720
TYS-MIA,AA,2019,92,0.24,0.24,1.0,
OAK-MEX,Y4,2019,53,0.30898,0.34518,1.117,120
ORD-BKG,F9,2019,1,0.00247,0.00803,3.257,600
BNA-CID,G4,2019,4,0.01221,0.02016,1.65,840
PDX-BNA,SY,2019,34,0.02727,0.03756,1.377,720
OPO-AGP,U2,2019,31,0.17564,0.24022,1.368,840
RMU-SEN,U2,2019,8,1.0,1.0,1.0,
JMK-PFO,FR,2019,2,0.03941,0.25678,6.515,1080
KIX-LHR,BA,2019,92,0.04857,0.14594,3.005,1320
SVO-ORY,SU,2019,79,0.15654,0.213,1.361,360
TLV-ADB,TK,2019,21,0.04808,0.35083,7.296,960
CLJ-LGW,W6,2019,72,0.12637,0.25895,2.049,360
SNN-IBZ,FR,2019,6,0.13246,0.13246,1.0,
SKG-DUB,FR,2019,42,0.03441,0.15511,4.507,480
BIO-SEN,FR,2019,10,0.00053,0.17371,325.851,720
SXB-MXP,T7,2019,95,0.16035,0.22922,1.43,600
TZX-SHJ,G9,2019,34,0.89959,0.89959,1.0,
DUS-PMO,OE,2019,6,0.35107,0.38086,1.085,240
SZY-KRK,LO,2019,49,0.54381,0.72948,1.341,720
OVB-GOJ,S7,2019,11,0.0479,0.07409,1.547,0
ALA-ZIA,U6,2019,4,0.08653,0.08653,1.0,
BNA-ABE,G4,2019,1,0.0,0.01044,,360
ZLT-YHR,PB,2019,4,1.0,1.0,1.0,
DEN-BTV,F9,2019,4,0.00229,0.00358,1.562,0
SYR-BNA,G4,2019,32,0.07515,0.07939,1.056,840
ZIA-PRG,U6,2019,72,0.58876,0.6554,1.113,360
IST-SHJ,TK,2019,36,0.01811,0.05574,3.078,840
RIX-LWO,BT,2019,10,0.00443,0.0204,4.602,840
BLQ-STR,OE,2019,33,0.05032,0.05032,1.0,
SEN-BOD,U2,2019,29,0.10536,0.15261,1.449,840
PLQ-DTM,W6,2019,3,0.06237,0.07775,1.247,960
CPH-BOD,FR,2019,17,0.00046,0.00381,8.212,240
DOH-GOT,QR,2019,30,0.03931,0.04632,1.178,480
HEL-HAJ,AY,2019,31,0.00568,0.0074,1.302,840
ABZ-SEN,LM,2019,23,0.00107,0.04324,40.428,480
ORK-MLA,FR,2019,8,0.01555,0.14731,9.474,600
KIX-MUC,LH,2019,156,0.09249,0.31477,3.403,120
BRI-BOD,FR,2019,23,0.0037,0.13635,36.83,120
TFN-GRX,VY,2019,10,0.0071,0.04991,7.026,360
MAH-TXL,U2,2019,19,0.01765,0.04114,2.331,960
RMU-LTN,FR,2019,31,0.88758,0.97796,1.102,120
TXL-MPL,U2,2019,7,0.00255,0.00908,3.566,360
NUE-NAP,FR,2019,13,0.0465,0.0465,1.0,
HMA-KRR,UT,2019,12,0.07134,0.1038,1.455,720
CTU-LHR,CA,2019,100,0.04473,0.08459,1.891,1200
BCN-AUH,EY,2019,47,0.04098,0.22454,5.479,840
ZRH-GDN,LX,2019,16,0.12075,0.12075,1.0,
BOD-TSF,FR,2019,16,0.01523,0.01875,1.231,600
IEV-BLL,W6,2019,16,0.12206,0.12206,1.0,
VLC-FUE,VY,2019,2,0.04416,0.14555,3.296,240
SVO-SJW,EO,2019,57,0.06399,0.085,1.328,360
CGO-HTN,CZ,2019,1,0.0,0.04202,,720
MDL-TSN,G5,2019,40,0.87176,0.87498,1.004,120
DED-JAI,SG,2019,16,0.02159,0.10945,5.069,120
NGO-XIY,MU,2019,93,0.1991,0.341,1.713,120
NNG-ENH,SC,2019,7,0.01319,0.02959,2.243,840
IXR-RPR,9I,2019,7,0.1869,0.42533,2.276,360
AMD-IXB,SG,2019,4,0.01549,0.05464,3.528,600
CTS-DLC,CZ,2019,58,0.10868,0.27599,2.54,120
HTN-IQM,G5,2019,1,0.0,0.78373,,840
KOS-JJN,QD,2019,20,0.10662,0.32995,3.095,120
SQN-TTE,IL,2019,2,0.0,1.0,,0
RLK-CGO,HO,2019,60,0.084,0.2662,3.169,600
CTU-SGN,3U,2019,20,0.36038,0.36038,1.0,
BLR-HKT,G8,2019,37,0.07227,0.10577,1.463,840
YYA-CTU,EU,2019,68,0.74169,0.89103,1.201,120
TPE-BWN,BI,2019,8,0.06031,0.06031,1.0,
CKG-JUH,G5,2019,10,0.0031,0.1917,61.818,240
MKZ-LGK,OD,2019,5,0.23836,0.24207,1.016,720
HKG-YTY,9C,2019,26,0.02012,0.10579,5.257,120
KWE-HCJ,G5,2019,1,0.98589,0.98589,1.0,
DWC-RUH,FZ,2019,47,0.81939,0.86206,1.052,1080
KHI-DWC,FZ,2019,6,0.26165,0.27886,1.066,960
DWC-ELQ,FZ,2019,7,0.5601,0.86439,1.543,600
SKT-DWC,FZ,2019,6,0.00033,0.33886,1018.122,840
KRT-ADE,FXX,2019,1,0.05811,0.24699,4.251,480
DWC-CGP,FZ,2019,7,0.85951,0.87509,1.018,240
GAS-WIL,4F,2019,10,0.0,1.0,,0
MOO-ADL,QQ,2019,15,0.85095,0.90678,1.066,600
NAA-IVR,FC,2019,1,0.0,0.97858,,480
DBO-OAG,FC,2019,3,0.86342,0.93481,1.083,360
KRL-XNN,G5,2019,33,0.00911,0.11467,12.583,480
HMA-NYA,UT,2019,1,0.72273,0.72273,1.0,
CEI-MFM,FD,2019,27,0.26528,0.29619,1.117,480
LLV-ZUH,KN,2019,8,0.11266,0.30912,2.744,120
MFM-KHN,ZH,2019,31,0.05365,0.10988,2.048,480
HET-YCU,ZH,2019,17,0.00436,0.01912,4.385,720
HNY-DSN,NS,2019,7,0.59708,0.59708,1.0,
THD-DAD,BL,2019,18,0.80083,0.85448,1.067,840
WUX-KWL,HO,2019,15,0.05112,0.13145,2.571,720
LJG-DYG,GJ,2019,22,0.01369,0.0159,1.162,1200
FOC-LHW,QW,2019,17,0.00389,0.10899,28.03,360
KUL-BWX,QG,2019,2,0.0,0.00723,,480
HUZ-TAO,ZH,2019,35,0.16383,0.24626,1.503,360
JGN-INC,MU,2019,46,0.3341,0.40315,1.207,600
DSN-TAO,MU,2019,44,0.07883,0.19227,2.439,600
CNN-CCJ,AI,2019,16,0.84517,0.9413,1.114,0
XNN-HDG,GJ,2019,6,0.00211,0.00779,3.694,360
JHG-PVG,KY,2019,86,0.19199,0.5642,2.939,120
LLB-CKG,G5,2019,78,0.19151,0.3437,1.795,240
NLT-KRY,G5,2019,11,0.14512,0.17437,1.202,960
MDG-WEH,MU,2019,10,0.04779,0.11916,2.493,1080
NAO-JHG,3U,2019,3,0.13793,1.0,7.25,240
HLD-CGO,RY,2019,61,0.0785,0.11595,1.477,480
LFQ-XMN,HU,2019,30,0.14204,0.36461,2.567,840
LHW-JUH,HO,2019,10,0.00823,0.18519,22.504,240
DLC-INC,HU,2019,19,0.00348,0.05394,15.512,240
CSX-MDL,AQ,2019,8,0.0279,0.59731,21.407,240
NZH-TNA,EU,2019,51,0.09543,0.17648,1.849,240
MXP-SFO,IG,2019,47,0.3175,0.40936,1.289,1080
ORF-JAX,G4,2019,9,0.06021,0.06186,1.027,480
PAE-SAN,AS,2019,19,0.89024,0.99293,1.115,360
YLH-YPL,WSG,2019,3,0.0,0.64564,,360
DFW-AGS,AA,2019,1,0.02285,0.02285,1.0,
DSI-TPA,9X,2019,31,0.79865,0.9267,1.16,360
YYC-CDG,WS,2019,178,0.06601,0.07584,1.149,1320
LAS-PGA,LF,2019,1,1.0,1.0,1.0,
LGA-AVL,AA,2019,8,0.02131,0.03917,1.838,240
GDL-CLT,Y4,2019,83,0.15497,0.16988,1.096,360
MYR-MCO,NK,2019,55,0.17292,0.17292,1.0,
LGW-DUS,U2,2019,102,0.06835,0.08047,1.177,240
ESL-LED,A4,2019,29,0.47694,0.60077,1.26,240
CDG-UIO,AF,2019,14,0.35081,0.61483,1.753,1200
BRI-KRK,FR,2019,23,0.02214,0.10598,4.786,720
MRS-AGA,FR,2019,3,0.33508,0.33778,1.008,720
YEI-GZT,TK,2019,1,0.04803,0.07092,1.477,360
LCY-BUD,LO,2019,40,0.01474,0.05201,3.527,120
BIO-NAP,V7,2019,17,0.01809,0.07134,3.943,720
OTP-EVN,RO,2019,7,0.00614,0.05757,9.374,480
NNM-UFA,7R,2019,10,0.54902,0.61744,1.125,0
BGY-REG,BV,2019,1,0.0,0.05554,,480
AER-KLF,A4,2019,2,0.00766,0.04781,6.24,1080
TBS-VOZ,A9,2019,4,0.03113,0.30853,9.91,960
BCN-SKT,PK,2019,1,0.00692,0.01622,2.342,360
SDF-LAX,AA,2019,52,0.13299,0.17394,1.308,960
BOS-ICN,KE,2019,101,0.14861,0.27325,1.839,1080
PVD-BNA,SY,2019,29,0.05793,0.07017,1.211,360
PGD-ALB,G4,2019,5,0.56809,0.6218,1.095,240
SMF-SBA,LF,2019,3,0.0695,0.0695,1.0,
FLL-CLO,NK,2019,13,0.02609,0.094,3.603,0
ATL-YYC,WS,2019,25,0.50114,0.52367,1.045,240
GRX-MLN,IB,2019,1,0.49583,0.56552,1.141,960
MUC-SXB,LH,2019,16,0.11334,0.12079,1.066,720
LHR-PVK,BA,2019,3,0.00185,0.00328,1.77,360
BLL-PRG,FR,2019,77,0.05439,0.05687,1.046,720
RHO-ORY,TO,2019,44,0.23072,0.39553,1.714,120
BGO-EDI,LM,2019,60,0.23004,0.27848,1.211,360
VKO-BRI,DP,2019,18,0.23128,0.26667,1.153,600
MLA-SUF,FR,2019,16,0.01706,0.0981,5.749,720
TFS-MST,CND,2019,1,0.00061,0.01103,17.979,0
KSC-SEN,FR,2019,9,0.33949,0.33949,1.0,
KGD-EGO,7R,2019,1,0.06473,0.56914,8.793,840
BRQ-SXF,FR,2019,85,0.33743,0.44743,1.326,240
DUB-KBP,FR,2019,28,0.00856,0.16051,18.759,840
TOS-FRA,LH,2019,165,0.41366,0.56845,1.374,480
INN-TXL,U2,2019,25,0.04717,0.07076,1.5,240
BES-AMS,AF,2019,152,0.22913,0.3629,1.584,480
OTP-FMM,W6,2019,10,0.00474,0.00474,1.0,
LCY-JMK,BA,2019,5,0.02621,0.03133,1.195,480
BCN-SCL,IB,2019,27,0.38411,0.41623,1.084,1320
KLF-ROV,A4,2019,15,0.02348,0.23992,10.219,600
NBC-KRR,A4,2019,12,0.5997,0.63733,1.063,0
DEB-DSA,W6,2019,20,0.24106,0.27141,1.126,600
MSQ-TLL,B2,2019,8,0.1135,0.24644,2.171,360
CPH-LWO,W6,2019,6,0.00128,0.05169,40.361,240
BSR-SAW,PC,2019,49,0.40963,0.44941,1.097,600
MRS-SVO,SU,2019,88,0.55438,0.61227,1.104,720
NBE-EMA,TOM,2019,8,0.0379,0.08233,2.172,480
MLA-EXT,FR,2019,11,0.00035,0.27901,799.818,120
PUJ-STL,F9,2019,40,0.06852,0.20954,3.058,360
IFN-DOH,QR,2019,96,0.14304,0.2899,2.027,1320
LFM-THR,W5,2019,14,0.72188,1.0,1.385,0
RIX-STR,BT,2019,40,0.00546,0.01284,2.35,720
TNG-NTE,V7,2019,25,0.00435,0.06348,14.603,240
DUB-DLM,FR,2019,3,0.00848,0.01308,1.543,120
VOG-ROV,A4,2019,15,0.2405,0.48615,2.021,480
LGW-PVG,MU,2019,148,0.15622,0.3963,2.537,1200
RMU-LBA,LS,2019,7,0.99296,1.0,1.007,0
BEY-LYS,TO,2019,54,0.10959,0.17712,1.616,240
OPS-VCP,AD,2019,19,0.88807,0.91004,1.025,360
PTO-CWB,AD,2019,7,0.97231,1.0,1.028,0
SQD-KWE,GJ,2019,23,0.6594,0.85347,1.294,360
PVG-UYN,MU,2019,5,5e-05,0.00714,143.822,480
KWE-ENH,MU,2019,7,0.16429,0.48482,2.951,960
DSN-LYA,MU,2019,11,0.03652,0.03652,1.0,
KIX-KCZ,GK,2019,2,0.11012,0.18926,1.719,480
YCU-WNZ,ZH,2019,1,0.0,0.05119,,600
HPH-VCA,VJ,2019,2,0.04315,0.06831,1.583,720
XKH-LPQ,LK,2019,8,0.79876,0.79876,1.0,
YIH-JJN,FU,2019,6,0.00234,0.47997,204.749,480
BKB-JAI,9I,2019,17,0.83865,0.90119,1.075,120
CAN-TCZ,ZH,2019,1,0.00132,0.0016,1.215,480
TSN-BSD,MU,2019,1,0.00916,0.02469,2.695,1080
PNH-MNL,PR,2019,83,0.53682,0.55974,1.043,0
YCU-JJN,ZH,2019,10,0.00378,0.36418,96.232,600
BDJ-PNK,IN,2019,4,0.64969,0.94941,1.461,480
ZYI-DMK,E3,2019,24,0.66345,0.67748,1.021,720
RPR-MAA,6E,2019,22,0.42567,0.52517,1.234,120
HFE-TSN,ZH,2019,30,0.03733,0.14613,3.915,360
LFQ-SZX,HU,2019,37,0.11418,0.25911,2.269,480
EYK-KJA,7R,2019,26,0.07457,0.16981,2.277,240
CGD-BHY,9C,2019,2,0.0091,0.47792,52.531,720
HZG-CAN,HU,2019,63,0.26696,0.28307,1.06,960
CNN-COK,6E,2019,20,0.85772,0.94349,1.1,1320
XIY-MDL,3U,2019,10,0.54227,0.6275,1.157,240
HAK-YTY,GS,2019,26,0.00104,0.06591,63.506,840
KOS-KHN,LQ,2019,32,0.24255,0.33514,1.382,360
HKT-LGK,OD,2019,10,0.3268,0.46581,1.425,480
BZX-SZX,ZH,2019,39,0.65783,0.9112,1.385,480
VCA-CXR,VJ,2019,27,0.25931,0.29165,1.125,840
VDO-SGN,VJ,2019,26,0.92405,0.92405,1.0,
CZX-TYN,MU,2019,12,0.09861,0.32162,3.262,480
PNH-CTU,QD,2019,159,0.10752,0.14651,1.363,120
MMX-VIE,W6,2019,88,0.37731,0.47781,1.266,360
GYD-DMM,XY,2019,26,0.22344,0.30364,1.359,840
BJL-IST,TK,2019,158,0.64873,0.81414,1.255,600
OHD-MXP,W6,2019,72,0.58712,0.94056,1.602,120
KIV-FMM,W6,2019,26,0.04325,0.12156,2.811,240
FCO-VKO,DP,2019,65,0.22392,0.26825,1.198,1200
TIA-DUS,2B,2019,36,0.03993,0.03993,1.0,
SZZ-KRK,FR,2019,20,0.30277,0.5971,1.972,1080
SAW-RTM,PC,2019,5,0.0511,0.17724,3.469,360
TZX-ELQ,TK,2019,8,0.43854,0.57313,1.307,1200
BSL-DEB,W6,2019,2,0.00154,0.17037,110.355,240
CNN-DOH,6E,2019,84,0.98826,0.98826,1.0,
MCT-ATH,WY,2019,108,0.45645,0.48184,1.056,360
KUN-TKU,W6,2019,2,1.0,1.0,1.0,
