route,dep,arr,dep_country,arr_country,type,year,region,carrier,hub_dest,forecast_pax,captured_uncapped,capacity,feed_beyond,feed_behind,p2p_outturn,fc_over_p2p,outturn_pax,fc_over_out,natural,propensity,propensity_basis,gcd_km
NAS-TPA,NAS,TPA,BS,US,FSC,2016,INTL,3M,True,14163,12552,49504,1218,393,9060,1.385,11006,1.287,12397,0.8805,qsi-share,600
DCA-BDA,DCA,BDA,US,BM,FSC,2016,INTL,AA,False,19529,18406,79872,34,1089,14273,1.29,16739,1.167,26831,0.5965,qsi-share,1328
CIJ-TDD,CIJ,TDD,BO,BO,FSC,2016,LATAM,8J,False,32885,44060,38688,9,0,4165,10.579,4340,7.577,38313,1.0,qsi-share,592
LIR-SYQ,LIR,SYQ,CR,CR,FSC,2016,LATAM,5C,False,5879,7038,6916,0,0,11668,0.603,11668,0.504,132652,0.1474,qsi-share,167
ZSA-MIA,ZSA,MIA,BS,US,FSC,2016,INTL,AA,True,2537,1672,31616,718,146,6743,0.248,9524,0.266,16140,0.1002,qsi-share,612
DGO-MDW,DGO,MDW,MX,US,LCC,2016,INTL,Y4,True,11279,11205,59904,53,21,25204,0.445,25207,0.447,14924,0.561,qsi-share,2499
CUL-PHX,CUL,PHX,MX,US,LCC,2016,INTL,Y4,True,9951,8527,72384,213,1211,15127,0.564,15313,0.65,10159,0.6218,qsi-share,1059
LAX-SCL,LAX,SCL,US,CL,FSC,2016,INTL,LA,True,36099,29885,154128,4014,2200,9223,3.24,48575,0.743,31650,0.8211,qsi-share,8980
LFW-GRU,LFW,GRU,TG,BR,FSC,2016,INTL,ET,True,2932,2410,224640,1,521,4032,0.598,63336,0.046,2096,1.0,qsi-share,6130
WUT-PVG,WUT,PVG,,CN,FSC,2016,INTL,FM,True,0,0,67392,0,0,50553,,53126,,0,1.0,qsi-share,1154
DEX-WMX,DEX,WMX,,ID,FSC,2016,INTL,IL,False,0,0,52416,0,0,40997,,40997,,0,1.0,qsi-share,101
IQQ-ASU,IQQ,ASU,CL,PY,FSC,2016,LATAM,ZP,False,2557,2503,15600,6,48,10950,0.229,11850,0.216,2176,1.0,qsi-share,1395
DFW-UIO,DFW,UIO,US,EC,FSC,2016,INTL,AA,False,24704,4461,119808,160,20083,8837,0.505,48548,0.509,4068,0.9535,qsi-share,4155
FLL-BGI,FLL,BGI,US,BB,LCC,2016,INTL,B6,False,19813,14916,218400,677,4219,57160,0.261,71915,0.276,44185,0.2501,qsi-share,2594
CUN-CGN,CUN,CGN,MX,DE,ULCC,2016,INTL,EW,True,20392,20392,127296,0,0,55773,0.366,56301,0.362,30481,0.8741,qsi-share,8476
GCM-PHL,GCM,PHL,KY,US,FSC,2016,INTL,AA,True,7006,6390,31200,429,187,6060,1.054,10830,0.647,6039,0.92,qsi-share,2361
PIT-CUN,PIT,CUN,US,MX,FSC,2016,INTL,AA,True,48974,62995,57616,310,14418,17434,3.613,17685,2.769,124672,0.4394,qsi-share,2250
CKG-CXR,CKG,CXR,CN,VN,FSC,2016,INTL,CA,False,635,43,181480,8,584,37621,0.001,51553,0.012,39,0.9675,qsi-share,1988
HKG-OOL,HKG,OOL,HK,AU,FSC,2016,APAC,HX,False,1697,914,91104,269,514,23308,0.039,39786,0.043,798,1.0,qsi-share,7033
BHY-BKK,BHY,BKK,CN,TH,LCC,2016,INTL,9C,True,31824,23005,37440,162,9370,28465,0.808,28948,1.099,198253,0.086,qsi-share,1255
SIN-ATQ,SIN,ATQ,SG,IN,FSC,2016,INTL,TZ,False,10803,10386,156000,231,186,88053,0.118,98342,0.11,9340,1.0,qsi-share,4554
CXR-KMG,CXR,KMG,VN,CN,LCC,2016,INTL,8L,True,272,175,76440,76,21,40952,0.004,43306,0.006,168,0.7743,qsi-share,1596
DMK-SWA,DMK,SWA,TH,CN,LCC,2016,INTL,FD,False,27746,26264,131040,1011,471,93262,0.282,97417,0.285,79025,0.2462,qsi-share,1999
MHH-ATL,MHH,ATL,BS,US,FSC,2016,INTL,DL,True,11599,2824,67600,8748,26,10891,0.259,22001,0.527,27995,0.0877,qsi-share,1059
ANF-LIM,ANF,LIM,CL,PE,FSC,2016,LATAM,LA,True,1788,1471,44928,55,261,12994,0.113,32029,0.056,1888,0.6777,qsi-share,1450
ELH-ATL,ELH,ATL,BS,US,FSC,2016,INTL,DL,True,9814,1995,27040,7793,26,5321,0.375,11363,0.864,25719,0.0675,qsi-share,1175
FRA-PTY,FRA,PTY,DE,PA,FSC,2016,INTL,LH,True,12385,3606,312000,1388,7391,14890,0.242,129602,0.096,3947,0.7943,qsi-share,9085
FCO-SCL,FCO,SCL,IT,CL,FSC,2016,INTL,AZ,True,37254,14541,304720,475,22238,20654,0.704,114916,0.324,13715,0.9219,qsi-share,11883
POI-CBB,POI,CBB,BO,BO,FSC,2016,LATAM,OB,False,30940,64517,36400,169,0,21449,3.008,30207,1.024,181663,0.3088,qsi-share,240
CGN-POP,CGN,POP,DE,DO,ULCC,2016,INTL,EW,False,18062,18062,128960,0,0,45341,0.398,51597,0.35,45988,0.2182,qsi-share,7461
KIX-MMY,KIX,MMY,JP,JP,FSC,2016,APAC,NH,False,24940,24419,120848,358,163,80966,0.302,82058,0.304,29707,0.7148,qsi-share,1439
HDY-UTP,HDY,UTP,TH,TH,LCC,2016,APAC,FD,False,3047,3044,131040,0,3,102920,0.03,103279,0.03,3761,0.5996,qsi-share,642
KUL-CSX,KUL,CSX,MY,CN,FSC,2016,INTL,CZ,True,22302,16447,184808,5275,580,126112,0.13,156687,0.142,14525,0.9846,qsi-share,3080
DXB-CEB,DXB,CEB,AE,PH,FSC,2016,INTL,EK,False,22585,17580,257712,601,4403,10002,1.758,107927,0.209,16903,0.9044,qsi-share,7376
UTP-MFM,UTP,MFM,TH,MO,LCC,2016,INTL,FD,False,4561,2369,74880,2161,31,56616,0.042,56665,0.08,2162396,0.0008,qsi-share,1696
HDY-CEI,HDY,CEI,TH,TH,LCC,2016,APAC,FD,False,3257,3144,131040,39,73,101786,0.031,101793,0.032,2630,0.8855,qsi-share,1448
SHE-DMK,SHE,DMK,CN,TH,LCC,2016,INTL,XW,True,26601,25862,129480,727,13,106562,0.243,106654,0.249,37372,0.9772,qsi-share,3790
YTY-KIX,YTY,KIX,,JP,LCC,2016,INTL,9C,True,1416,0,56160,19,1396,52204,,53441,0.026,0,1.0,qsi-share,1452
RIZ-PEK,RIZ,PEK,,CN,FSC,2016,INTL,SC,True,0,0,121576,0,0,87349,,92006,,0,1.0,qsi-share,571
SYX-ICN,SYX,ICN,CN,KR,LCC,2016,INTL,TW,True,33837,33368,78000,368,101,96535,0.346,96642,0.35,48517,0.5141,qsi-share,2699
